https://www.CryptoDataDownload.com,,,,,
Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount
1.77863E+12,12-05-2026 23:00,BTCUSDT,80656.44,80714,80439.91,80504.47,247.40723,19935179.45,54410
1.77862E+12,12-05-2026 22:00,BTCUSDT,80587.45,80791.94,80587.45,80656.43,151.10909,12191877.75,58382
1.77862E+12,12-05-2026 21:00,BTCUSDT,80696.87,80738,80497,80587.44,202.53849,16328208.42,56092
1.77862E+12,12-05-2026 20:00,BTCUSDT,80835.3,80896.25,80642.85,80696.87,292.49967,23632767.92,60010
1.77861E+12,12-05-2026 19:00,BTCUSDT,80679.11,80874.42,80679.11,80834.64,346.22158,27967842.03,71477
1.77861E+12,12-05-2026 18:00,BTCUSDT,80527.69,80763.81,80430,80679.12,367.3581,29601094.38,89346
1.77861E+12,12-05-2026 17:00,BTCUSDT,80000.01,80593.06,79951.05,80527.69,486.64257,39093638.22,122455
1.7786E+12,12-05-2026 16:00,BTCUSDT,80336.01,80435.99,79843.59,80000.01,1473.4545,118151504.8,170555
1.7786E+12,12-05-2026 15:00,BTCUSDT,80540,80676.78,80188.65,80336.01,958.32005,77034621.14,190809
1.77859E+12,12-05-2026 14:00,BTCUSDT,80466.91,80888.01,80397.88,80540,865.59094,69783490.23,215218
1.77859E+12,12-05-2026 13:00,BTCUSDT,80881.25,80928.26,80397.07,80466.91,795.94705,64237911.81,174593
1.77859E+12,12-05-2026 12:00,BTCUSDT,80784.86,80999,80619.19,80881.26,585.87948,47353845.29,130158
1.77858E+12,12-05-2026 11:00,BTCUSDT,80666.38,80785.38,80496.57,80784.87,500.02112,40317804.13,76762
1.77858E+12,12-05-2026 10:00,BTCUSDT,80837.15,80848.27,80601.27,80666.37,487.71377,39370519.03,71502
1.77858E+12,12-05-2026 09:00,BTCUSDT,80843.3,80963.35,80720,80837.15,506.71585,40964908.75,75137
1.77857E+12,12-05-2026 08:00,BTCUSDT,80865.4,80964.13,80760.53,80843.31,478.61372,38709434.59,71518
1.77857E+12,12-05-2026 07:00,BTCUSDT,81022.44,81137.27,80800.77,80865.4,603.31882,48850496.95,94155
1.77857E+12,12-05-2026 06:00,BTCUSDT,81224.04,81300,81010.01,81022.44,448.36294,36392772.17,63088
1.77856E+12,12-05-2026 05:00,BTCUSDT,81240.01,81305.24,81181.56,81224.03,329.93857,26808069.47,54329
1.77856E+12,12-05-2026 04:00,BTCUSDT,81058.79,81303.99,81000,81240.01,398.28206,32329942.99,57096
1.77855E+12,12-05-2026 03:00,BTCUSDT,81249.93,81294.42,81024.41,81058.8,187.87319,15248041.35,60524
1.77855E+12,12-05-2026 02:00,BTCUSDT,81199.18,81332.29,81087.63,81249.93,386.77691,31406837.79,75315
1.77855E+12,12-05-2026 01:00,BTCUSDT,81545.2,81615.67,80714.28,81199.18,866.00547,70232184.67,171646
1.77854E+12,11-05-2026 23:00,BTCUSDT,81833.92,81833.92,81596.31,81745.65,278.04936,22722648.44,48064
1.77854E+12,11-05-2026 22:00,BTCUSDT,81821.18,81969.99,81729.99,81833.92,366.43361,29984455.35,65303
1.77853E+12,11-05-2026 21:00,BTCUSDT,81821.03,81906.35,81600,81821.18,268.82965,21974056.16,71491
1.77853E+12,11-05-2026 20:00,BTCUSDT,81961.99,82078.91,81758.5,81821.02,322.40099,26415221.33,80962
1.77853E+12,11-05-2026 19:00,BTCUSDT,81858.97,82091.11,81739.09,81961.99,458.6097,37583434.93,99644
1.77852E+12,11-05-2026 18:00,BTCUSDT,81941.09,82137.26,81836.15,81858.96,536.09834,43957377.78,122807
1.77852E+12,11-05-2026 17:00,BTCUSDT,81575.84,82071.77,81369.42,81941.09,565.28919,46241223.33,130148
1.77852E+12,11-05-2026 16:00,BTCUSDT,81445.89,81910.35,81344.72,81575.85,1113.46844,90990646,177209
1.77851E+12,11-05-2026 15:00,BTCUSDT,80953.39,81458,80826.02,81445.9,647.30001,52569627.72,155632
1.77851E+12,11-05-2026 14:00,BTCUSDT,81072.01,81252.72,80462.97,80953.38,767.64104,62029026.94,207388
1.7785E+12,11-05-2026 13:00,BTCUSDT,81054.65,81332.29,80739.63,81072,767.39683,62199096.19,180484
1.7785E+12,11-05-2026 12:00,BTCUSDT,81196.95,81356.46,81029.77,81054.65,485.8963,39445901.88,106655
1.7785E+12,11-05-2026 11:00,BTCUSDT,80940,81196.95,80900,81196.94,356.37085,28896558.09,66506
1.77849E+12,11-05-2026 10:00,BTCUSDT,80966.58,81200,80940,80940,488.26383,39586282.88,84856
1.77849E+12,11-05-2026 09:00,BTCUSDT,80767.97,80997.63,80758.3,80966.57,330.83757,26767184.09,52736
1.77849E+12,11-05-2026 08:00,BTCUSDT,80740.4,80863.42,80621.87,80767.97,463.92135,37470322.13,67535
